num,levc,revc,aoc,clt,clm,cdc,ctt,ctm,cdt,cdm,cct,ccm,lelc,relc,slt,slm,sdc,smt,smm,sdt,sdm,sct,scm
1,103565,103626,184165,2836615398,26050200,107189,528226894,182268088,279929840,37979992,808156734,220248080,1666502,1666502,22011791202,636274936,100000,11693162459,141879272,36075683634,486352472,47768846093,628231744
2,206999,207085,344614,3811564769,161967104,214082,533079864,344121712,393193634,73244216,926273498,417365928,1716502,1716502,22070206038,651973096,200000,11179706344,148823776,34558245502,516123376,45737951846,664947152
3,310292,310358,489650,4712817137,242657144,320648,781274437,492799184,504368610,106905816,1285643047,599705000,1766502,1766502,22686921974,667479744,300000,11293104146,155310776,36313320543,544680032,47606424689,699990808
4,413292,413372,624072,5868999906,304427744,426662,1127093866,628746928,660447844,139431296,1787541710,768178224,1816502,1816502,24583988959,682807200,400000,11859767607,161778904,37193599171,572412824,49053366778,734191728
5,516237,516398,750678,6756151731,403330768,532633,1348537647,756982176,829665453,170208048,2178203100,927190224,1866502,1866502,24261666944,697954904,500000,13004728274,168230240,37634114517,599508056,50638842791,767738296
6,619100,619215,871678,8334433716,442451432,638313,1627125595,883164120,999977378,201207888,2627102973,1084372008,1916502,1916502,25160231315,712972152,600000,12642686640,174716320,38594914654,626133096,51237601294,800849416
7,721827,721926,988409,14285950152,563486616,743751,2033323450,1000326480,1207420963,230402144,3240744413,1230728624,1966502,1966502,25291929971,727856096,700000,12644981062,181177800,39029545143,652412336,51674526205,833590136
8,824453,824525,1102216,16695274252,643378688,848976,2247578932,1113653672,1389040117,260627696,3636619049,1374281368,2016502,2016502,28183922969,742631400,800000,14171053038,187631776,42710217310,678435712,56881270348,866067488
9,926963,926979,1213523,20567876306,723133496,953940,2615633746,1223450232,1557731455,288712848,4173365201,1512163080,2066502,2066502,26265445392,757301424,900000,13210253096,194088832,41402938979,704209664,54613192075,898298496
10,1029364,1029335,1322871,20987871588,802777944,1058697,2958251381,1330176120,1690983523,316281448,4649234904,1646457568,2116502,2116502,26597541274,771839552,1000000,15213857858,200505840,41576931776,729808560,56790789634,930314400
11,1131720,1131625,1430467,25042426314,882364800,1163343,3236403717,1434369632,1858260916,343464112,5094664633,1777833744,2166502,2166502,27288721907,786287992,1100000,14356444469,206912456,42418855173,755226472,56775299642,962138928
12,1233981,1233897,1536772,34917542496,961890368,1267876,3886817496,1536487080,2229093592,372733992,6115911088,1909221072,2216502,2216502,27014027165,800653832,1200000,15120933268,213306600,43429130380,780504456,58550063648,993811056
13,1336167,1336090,1642202,37522502466,1041328624,1372255,4205133588,1645184384,2155637640,399246728,6360771228,2044431112,2266502,2266502,27903700452,814931528,1300000,15487648708,219677672,44501994468,805705536,59989643176,1025383208
14,1438183,1438251,1746879,31561227521,1120685840,1476432,4313796518,1743856792,2383632510,425479064,6697429028,2169335856,2316502,2316502,28352695080,829144408,1400000,15453808072,226020888,44642563927,830826584,60096371999,1056847472
15,1540289,1540263,1850737,41439329528,1200034912,1580550,4662277839,1840936424,2474694131,451458472,7136971970,2292394896,2366502,2366502,28977440443,843268864,1500000,17174919356,232359248,46420392155,855863928,63595311511,1088223176
16,1642318,1642290,1954050,39816437261,1279325872,1684606,4969933004,1936792672,2662863003,477222952,7632796007,2414015624,2416502,2416502,29913036793,857325928,1600000,16806279029,238679296,47112943010,880834592,63919222039,1119513888
17,1744222,1744284,2056915,47885033337,1358564104,1788504,5821627025,2031227368,2819600481,502729952,8641227506,2533957320,2466502,2466502,29435515641,871302104,1700000,17043664335,244968680,48051612105,905765416,65095276440,1150734096
18,1846062,1846098,2159465,56555155156,1437681096,1892158,6359037943,2124380088,2685275351,531626088,9044313294,2656006176,2516502,2516502,30561569827,885215408,1800000,18483653901,251220880,47647103107,930639656,66130757008,1181860536
19,1947878,1947856,2261657,43622492654,1516757808,1995732,6318984572,2216568592,2826421674,556708840,9145406246,2773277432,2566502,2566502,32192237081,899082568,1900000,19257671878,257467664,48094643515,955480728,67352315393,1212948392
20,2049611,2049598,2363537,59724920233,1595788072,2099207,6887163248,2307640024,2873903340,581598696,9761066588,2889238720,2616502,2616502,32649277085,912894672,2000000,18051244624,263681168,48415490478,980265640,66466735102,1243946808
21,2151343,2151390,2465102,79788000941,1676491624,2202731,7010477171,2397917224,3048104348,606365280,10058581519,3004282504,2666502,2666502,31841355024,927455544,2100000,18116284185,269894016,49981648149,1005034968,68097932334,1274928984
22,2253003,2253044,2566491,52957453394,1757094944,2306045,10110218592,2487192232,3029607585,630941088,13139826177,3118133320,2716502,2716502,31853492673,941961152,2200000,18559124319,276072448,52988105163,1029769168,71547229482,1305841616
