num,levc,revc,aoc,clt,clm,cdc,ctt,ctm,cdt,cdm,cct,ccm,lelc,relc,slt,slm,sdc,smt,smm,sdt,sdm,sct,scm
1,50001,50001,92974,2871747537,52180296,94259,389260125,131559944,246472877,16002296,635733002,147562240,1616502,1616502,24527718709,620823440,93560,13276820069,135174424,40105075099,468886496,53381895168,604060920
2,100001,100001,171477,3699549988,93017628,178363,630105244,247642776,183481145,29813344,813586389,277456120,1616502,1616502,25250797795,621219528,175896,10795996045,135566432,38095511913,480874368,48891507958,616440800
3,150001,150001,238153,4935789170,145124308,253890,1059931385,351264024,276040059,41712528,1335971444,392976552,1616502,1616502,24617963727,621598968,248865,12052431225,135566384,39821795507,491159064,51874226732,626725448
4,200001,200001,294511,5102420971,209195688,321924,811998051,442506280,375330724,51522080,1187328775,494028360,1616502,1616502,25495039614,621958560,313852,11478498221,135566384,43199066511,500037440,54677564732,635603824
5,250001,250001,342705,6000309168,261591616,383923,1044783195,524315328,454753738,60821672,1499536933,585137000,1616502,1616502,24429475422,622298800,372506,14119648203,135566384,40749554399,507841704,54869202602,643408088
6,300001,300000,383229,6874553131,314006568,439486,1253016959,597028856,510124381,68170384,1763141340,665199240,1616502,1616502,24716939031,622607000,424384,11317562215,135565928,42562671036,514554368,53880233251,650120296
7,350001,350000,417736,7573368888,366482732,490474,1698738607,664715232,572695067,74618752,2271433674,739333984,1616502,1616502,23903999501,622878448,471629,11426494156,135566384,40085951006,520504192,51512445162,656070576
8,400001,400000,447149,8559436800,419016616,537230,1701139306,723960248,644985180,80310336,2346124486,804270584,1616502,1616502,24700139523,623091160,514449,12705573777,135566384,40068805304,525786288,52774379081,661352672
9,450001,450000,472307,9179304396,471553888,580039,1922357477,777801184,696151745,86396552,2618509222,864197736,1616502,1616502,25284710512,623311232,553488,11734060251,135566384,40277554869,530492424,52011615120,666058808
10,500001,500000,493400,9949676424,524143952,619358,2051602073,826494200,758398330,90777904,2810000403,917272104,1616502,1616502,24862694151,623475696,588918,11652196543,135566384,40071386051,534654312,51723582594,670220696
11,550001,550000,511892,10806128778,576738896,655794,2543288061,871447504,810226301,94725280,3353514362,966172784,1616502,1616502,25511256028,623656672,621516,11443659806,135566640,41047209924,538424304,52490869730,673990944
12,600001,600000,527403,15273325632,629354592,689592,2513163337,912504216,851175102,98232240,3364338439,1010736456,1616502,1616502,23245650300,623813048,651636,11720000991,135566384,41988722192,541833032,53708723183,677399416
13,650001,650000,540397,16974511666,681988320,720435,2784084353,949796824,890750904,101306600,3674835257,1051103424,1616502,1616502,24426500048,623955184,678734,11418144936,135566384,40153429707,544832128,51571574643,680398512
14,700001,700000,551781,21256342481,734651664,749464,2984159988,984738232,968864121,104124640,3953024109,1088862872,1616502,1616502,25189641932,624080760,704290,12130569344,135566176,41657534976,547628696,53788104320,683194872
15,750001,750000,561501,20630875545,787344328,776558,3678461909,1017107072,1060091263,106648304,4738553172,1123755376,1616502,1616502,26050021431,624179128,728021,13114993172,135566384,39595655816,550187296,52710648988,685753680
16,800001,800000,569956,22532052615,840031624,802061,3522402510,1047085592,1037027333,108978840,4559429843,1156064432,1616502,1616502,23396475909,624283704,750286,11217422308,135566384,38939299932,552556712,50156722240,688123096
17,850001,850000,577155,24079932518,892774008,826158,3797312737,1075126000,1133284569,112751608,4930597306,1187877608,1616502,1616502,24911416884,624359952,771304,11137510030,135566384,38673312423,554771696,49810822453,690338080
18,900001,900000,583252,27972282538,945523752,848237,5613416066,1101003264,1137979100,114652640,6751395166,1215655904,1616502,1616502,23935453173,624428464,790330,10790912521,135566384,38589964811,556747424,49380877332,692313808
19,950001,950000,588602,23809545333,998255160,868868,4105927091,1125327704,1048477009,116393240,5154404100,1241720944,1616502,1616502,23152243410,624499392,808261,11336978182,135566384,37665090162,558594704,49002068344,694161088
20,1000001,1000000,593136,27668921661,1050985584,888339,4179814670,1148216872,977674135,117970112,5157488805,1266186984,1616502,1616502,23135604240,624570016,824699,11268968211,135566568,37367225800,560251528,48636194011,695818096
21,1050001,1050000,597108,31216386597,1103743344,906740,4628086832,1169772896,1024459542,119457336,5652546374,1289230232,1616502,1616502,23044164198,624636384,840424,10015439451,135566384,37378254019,561843416,47393693470,697409800
22,1100001,1100000,600546,33962391539,1156526776,924188,4802234985,1190130592,1048356523,120830776,5850591508,1310961368,1616502,1616502,22242849848,624666128,855248,11190776472,135566384,37332680336,563318344,48523456808,698884728
