num,levc,revc,aoc,clt,clm,cdc,ctt,ctm,cdt,cdm,cct,ccm,lelc,relc,slt,slm,sdc,smt,smm,sdt,sdm,sct,scm
1,55443,55495,153885,2441976459,-13170124,62082,899937873,165776776,301664398,25754704,1201602271,191531480,1616502,1616502,22594603570,622249296,59004,12431428443,135262088,38249445296,464791864,50680873739,600053952
2,111815,111587,271419,3243293186,97534452,114290,858343872,297070800,324383160,46501928,1182727032,343572728,1616502,1616502,23438644363,623862024,105577,11865480807,135714144,36859602637,472221608,48725083444,607935752
3,168058,168026,362732,3896646314,165482664,158023,777606559,401796608,402037598,62947024,1179644157,464743632,1616502,1616502,23751212673,625169216,143200,10856182318,135735000,38163048358,477926128,49019230676,613661128
4,224554,224475,435310,4850450604,206716776,194632,1247369310,490024712,459522332,76668864,1706891642,566693576,1616502,1616499,23445993110,626226920,174328,11128835780,135747384,37852655380,482484600,48981491160,618231984
5,281181,280871,493180,5315196372,276804584,225406,1637784439,561406456,635330978,87628584,2273115417,649035040,1616500,1616496,23848061418,627113328,200113,11142715869,135750736,36887942349,486123704,48030658218,621874440
6,337691,337514,540499,7715020734,313204520,251566,1940805119,622064720,673219856,97258640,2614024975,719323360,1616500,1616496,24828156523,627850056,222117,11223306222,135736048,39283001882,489147528,50506308104,624883576
7,394397,394076,579842,7222544154,388392920,274018,2079498834,674313184,669363672,104963448,2748862506,779276632,1616500,1616496,24851621136,628483568,240620,13672395921,135713160,38653479482,491669296,52325875403,627382456
8,451074,450846,612607,7915768718,444313584,293304,2428865215,719415760,768663400,111483968,3197528615,830899728,1616500,1616496,25437319000,629024792,256642,10654354823,135701328,38421583885,493798384,49075938708,629499712
9,507835,506964,640045,8622039171,499970088,310162,2763443726,758838272,769243643,117048256,3532687369,875886528,1616500,1616496,26403370006,629486032,270228,13112904954,135683840,39583588650,495574104,52696493604,631257944
10,564429,563403,663122,9854026414,555714744,324632,3058876086,793417432,824260879,121797672,3883136965,915215104,1616500,1616496,25114435241,629887408,281913,11248088728,135661920,39413862757,497073296,50661951485,632735216
11,621018,619960,682607,10343011774,611514600,337373,3429756161,824053688,878523719,125882560,4308279880,949936248,1616500,1616496,25390254140,630234768,292058,11756295784,135640400,39555163235,498349040,51311459019,633989440
12,677719,676993,699543,19626590415,667616984,348585,4168736070,851810896,873647240,129446088,5042383310,981256984,1616500,1616496,23866143614,630519440,300929,11018700525,135627488,41855935892,499458184,52874636417,635085672
13,734208,733384,713879,23845947197,723308864,358532,4234422645,876664320,997321502,132551136,5231744147,1009215456,1616500,1616496,24839742386,630752688,308630,11301010509,135598912,40304323156,500411840,51605333665,636010752
14,790530,789522,726238,20147010760,778797784,367149,4653203519,899017656,1033402452,135942088,5686605971,1034959744,1616500,1616496,24466654272,630968736,315353,12809703591,135577072,39095227765,501258616,51904931356,636835688
15,846700,845802,736894,25190196535,834280648,374997,5153823642,919478560,1060425589,138330232,6214249231,1057808792,1616500,1616496,25246225603,631142480,321422,11134783282,135557192,39515586077,501980464,50650369359,637537656
16,902956,901878,746243,21578158487,889716544,381894,5794377291,938298824,1112794547,140377976,6907171838,1078676800,1616500,1616496,25411688028,631274648,326759,11571919695,135550672,40142847504,502605784,51714767199,638156456
17,959316,958709,754458,25955786007,945567104,388222,5918423355,955651608,1108141712,142279800,7026565067,1097931408,1616500,1616496,24524713037,631412280,331542,10955153193,135542928,39358218244,503165888,50313371437,638708816
18,1015631,1014932,761939,29408633038,1001105600,394003,6301846014,972012648,1186022023,144007208,7487868037,1116019856,1616500,1616496,24514078467,631541072,335993,11326981689,135537280,39790261737,503691864,51117243426,639229144
19,1071681,1071077,768613,27947409385,1056479184,399359,7392611995,987313688,1282890470,145587480,8675502465,1132901168,1616500,1616496,23935540860,631641328,339914,12022579281,135516328,38802406730,504155512,50824986011,639671840
20,1127934,1127409,774691,28188772765,1112038896,404199,7200286466,1001977232,1130865243,147018240,8331151709,1148995472,1616500,1616496,24425108397,631736272,343681,11604878921,135512896,39669671507,504597280,51274550428,640110176
21,1184496,1183666,780101,23895978276,1167723176,408719,7497884014,1015710472,1250515314,148339304,8748399328,1164049776,1616500,1616496,25635519892,631814000,347074,11200663278,135518704,39112316048,504978616,50312979326,640497320
22,1240737,1239915,785131,28405807072,1223248056,412969,11684567978,1028906568,1153026348,149607448,12837594326,1178514016,1616500,1616496,23577474495,631887928,350233,10970469898,135515864,40125674586,505358456,51096144484,640874320
