num,levc,revc,aoc,clt,clm,cdc,ctt,ctm,cdt,cdm,cxc,cxt,cxm,cct,ccm,lelc,relc,slt,slm,sdc,smt,smm,sdt,sdm,sxc,sxt,sxm,sct,scm,exc,ept,epm,ext,exm,ect,ecm,srx
1,25001,25001,47324,168838830,38177965,47798,238219739,248306664,165378868,124153328,874,149571100,125513880,553169707,497973872,545535,545535,5432855413,414553368,48844,3175970242,620869328,12469544087,623939688,946,530636148,273728936,16176150477,1518537952,874,1567853131,743431280,10383865847,1406628552,11951718978,2150059832,524
2,50001,50001,88665,412538025,76367914,91482,220667385,512225216,213632264,170730448,3470,188832788,170730448,623132437,853686112,545535,545535,5726908469,538783384,95144,2771923128,684490768,11757096134,6829326320,3449,567670840,515781856,15096690102,8029598944,3474,2708270541,1543402448,11620785694,1959531520,14329056235,3502933968,2067
3,75001,75001,124802,596193475,114589101,131762,293075024,735103696,177275143,181759384,7380,176635595,181725424,646985762,1098588504,545535,545535,5651594475,538850632,139256,2969170445,568142984,11651182421,6799819776,7176,909411514,924567664,15529764380,8292530424,7392,4263642068,2508199104,11808274091,2578431168,16071916159,5086630272,4445
4,100001,100001,156407,838569076,152810826,168928,535566844,854128336,229804230,213571144,12430,212761835,213532072,978132909,1281231552,545535,545535,5448764133,538876552,181291,2907822896,635458160,11745783163,6833138384,11896,1015298485,1291948712,15668904544,8760545256,12458,5302129152,2974463712,12028731983,3179590800,17330861135,6154054512,7471
5,125001,125001,184361,1005698106,191055346,203463,708834313,911702024,231185802,224250536,18397,230300181,224211240,1170320296,1360163800,545535,545535,5677792311,538940320,221547,2875097253,683815952,11799565736,6837871784,17382,995774436,1842859096,15670437425,9364546832,18468,6573482511,3675182560,13485483985,3817683152,20058966496,7492865712,10964
6,150001,150001,208557,1289207670,229337021,235231,619028935,1213889184,313633677,237957544,25235,319347093,237997208,1252009705,1689843936,545535,545535,5387550089,538969440,259857,2816908717,728343360,11825251600,6797670032,23642,1115316206,2456830840,15757476523,9982844232,25353,8312834992,4217897944,14578654142,4316823592,22891489134,8534721536,14950
7,175001,175001,229932,1476915824,267668288,264726,794518986,1298925680,359247860,254259048,32759,331305717,254296856,1485072563,1807481584,545535,545535,5483693452,538995880,296513,2877747091,779389176,11674847073,6804854072,30485,1536938319,3117376376,16089532483,10701619624,32954,9511249611,5023341128,15104861742,4966651864,24616111353,9989992992,19354
8,200001,200001,248706,1646233622,305931293,292222,959217153,1384241968,382303520,270749144,40770,369597608,270753608,1711118281,1925744720,545535,545535,6070700772,539040912,331484,2779832620,553721136,11651457971,6921122848,37497,2197525179,3599094608,16628815770,11073938592,41093,11005488006,5643320384,15921616323,5432994056,26927104329,11076314440,23910
9,225001,225001,264952,1829623996,344306616,317728,1345084705,1453632320,402581233,282105992,49249,476191693,564781072,2223857631,2300519384,545535,545535,5843721623,539028608,364906,2931295908,570931664,11865454799,6850807960,44928,2664635532,4310463624,17461386239,11732203248,49714,12160878542,6215602672,16223343942,5978639640,28384222484,12194242312,28715
10,250001,250001,279423,2057980798,382652021,341782,1512480086,1451724592,421805390,280086344,58082,483830098,560145304,2418115574,2291956240,545535,545535,5897327626,538958888,396959,2829473743,570372968,11986716059,6818939336,52523,2791633434,4866020520,17607823236,12255332824,58711,13920812431,7054228600,18502673915,6737649368,32423486346,13791877968,33735
11,275001,275001,291972,2473541013,421022776,364027,1184043905,1755058808,734165152,277983032,67286,492805173,555886376,2411014230,2588928216,545535,545535,5237829296,539005000,427508,2869637724,560819944,11919560679,7049120488,60269,3068480773,5639440528,17857679176,13249380960,68119,14785084826,7746103304,19028919146,7164153496,33814003972,14910256800,38807
12,300001,300001,303052,2655809840,459349922,385163,1337485085,1611170832,449299356,268568232,76622,585563112,514404520,2372347553,2394143584,545535,545535,5731737783,538936096,457131,2913602344,774985048,12105557593,7024953104,68197,3265515015,6261129040,18284674952,14061067192,77718,16937431900,8218123736,19892009291,7715913128,36829441191,15934036864,44120
13,325001,325001,312801,3119014582,497775248,404814,1499404578,1857433744,475761782,250515616,85981,620208134,500985344,2595374494,2608934704,545535,545535,5298987686,538948448,485435,2959648336,765961784,12033541221,7070418880,76143,4035993994,7152431000,19029183551,14988811664,87377,17683396586,8870372688,21331563112,8225663296,39014959698,17096035984,49310
14,350001,350001,321388,3248337408,536167392,423364,1591405390,1851011384,937442659,498397368,95423,627923348,498397264,3156771397,2847806016,545535,545535,5886987531,538923864,512353,2995771594,764261224,11936667617,7054548104,84016,4557355770,7652652488,19489794981,15471461816,97155,19624307665,9718905976,22796607677,8801126288,42420915342,18520032264,54536
15,375001,375000,329030,3582871423,574562290,440694,1747093466,1836713528,775623667,493582232,105266,710911308,493582248,3233628441,2823878008,545535,545535,5292904496,538907440,538791,2887875391,758887040,12068741436,7004423296,92267,3291281618,8367706248,18247898445,16131016584,107336,19670363623,10312547048,23312069523,9486193504,42982433146,19798740552,59980
16,400001,400000,335577,3302143844,613025752,456890,2375095097,2097350832,610902757,491408696,115174,708629649,737103280,3694627503,3325862808,545535,545535,5835714769,538861256,564211,3044705220,748282544,11842609114,6983762144,100461,4341184343,9106107872,19228498677,16838152560,117626,21429753387,10812998224,23872516151,9997034768,45302269538,20810032992,65336
17,425001,425000,341546,3643026797,651454986,472539,2009797279,2093417288,638014377,489126032,124773,753357330,733664952,3401168986,3316208272,545535,545535,5356317606,538829624,588314,2866944655,746091096,11935804770,6963263008,108266,4577066720,9843742984,19379816145,17553097088,127641,24219349564,11419436592,26302845340,10582796744,50522194904,22002233336,70484
18,450001,450000,346665,3689286740,689929416,487019,2729737591,2266983968,604391103,528342984,134564,958053578,792497400,4292182272,3587824352,545535,545535,5561005490,538772976,611536,2963974754,807163200,12114306290,7011973384,116191,4543529406,10383550832,19621810450,18202687416,137874,25377247995,12101624544,28029289050,11164545056,53406537045,23266169600,75618
19,475001,475000,351037,3867792173,728351192,500728,2757197025,2253789048,599165760,524273096,144364,778129411,786393696,4134492196,3564455840,545535,545535,5847712592,538740752,634024,2724812437,802510528,11674832466,6971664072,124096,5997800060,11157589208,20397444963,18931763808,148118,25984430777,12642862376,28402052458,11726111896,54386483235,24368974272,80787
20,500001,500000,355044,4106275336,766765482,514017,2949712410,2240159744,622711163,520261112,154119,1016438254,780372744,4588861827,3540793600,545535,545535,6127690144,538698512,655939,2816762908,797710032,12186505599,6963600976,131796,5190342841,11632413672,20193611348,19393724680,158271,27962825582,13374435560,29504104317,12309004352,57466929899,25683439912,85850
21,525001,525000,358501,4261392960,805281325,526484,3154118871,2218216296,656637835,570735120,163595,1159389796,771423088,4970146502,3560374504,545535,545535,5858628436,538627552,676625,2846129976,789105928,12137623749,7209787016,139300,5969418530,12302479984,20953172255,20301372928,168247,29493856350,682855392,30743228425,12929888528,60237084775,13612743920,90865
22,550001,550000,361690,5007604158,843713706,538347,2665856679,2492440688,741813168,556873160,173042,989379554,830839008,4397049401,3880152856,545535,545535,5390835587,538604512,696822,2889485814,784085008,11980190622,7166337584,146771,5701894842,12893132048,20571571278,20843554640,178244,29104304491,1115075344,31751086400,13408248376,60855390891,14523323720,95809
