num,levc,revc,aoc,clt,clm,cdc,ctt,ctm,cdt,cdm,cxc,cxt,cxm,cct,ccm,lelc,relc,slt,slm,sdc,smt,smm,sdt,sdm,sxc,sxt,sxm,sct,scm,exc,ept,epm,ext,exm,ect,ecm,srx
1,8057,7954,7985,70777733,413389,4957,179608194,102535808,46513065,51267912,184,92179455,60211304,318300714,214015024,39034,39034,407811780,-11078440,10507,270032764,51267880,931180254,461411128,509,133824626,68550056,1335037644,581229064,183,3697158213,378496872,861878539,210823920,4559036752,589320792,0
2,16057,15921,14346,129585935,1203370,9156,156618005,191922288,47170006,191922288,670,74373424,191922288,278161435,575766864,37035,37034,408621927,38421360,20895,193147307,191912000,750121514,575806672,1767,151248426,200612856,1094517247,968331528,655,993426831,939365312,1096613812,477448176,2090040643,1416813488,0
3,24163,23668,19559,169762110,1756760,12775,191006192,233935104,44316528,233935104,1421,95934796,233935104,331257516,701805312,35037,35034,386746527,37175040,31225,182613126,233935096,802035989,467908920,3923,189716701,233935248,1174365816,935779264,1361,1617703364,1059580704,8515977623,544586096,10133680987,1604166800,0
4,32102,31607,23803,205757074,2301909,15236,238217156,268700768,41800630,268700768,2453,94844896,268700768,374862682,806102304,33042,33036,332841775,35940136,41648,178288063,268700800,727335149,537401496,7165,240815358,268700912,1146438570,1074803208,2288,1971855437,1163495552,1943821708,591404560,3915677145,1754900112,0
5,39794,39505,27184,267162481,2828858,16980,279107408,293108464,52591178,293108464,3684,111169933,293108464,442868519,879325392,31043,31038,359657016,34713952,51734,171615341,293110608,744410227,586216944,10975,370264694,293108608,1286290262,1172436160,3409,2333286277,1470190528,2100076124,646394400,4433362401,2116584928,0
6,47468,47191,30057,339919191,3354733,18223,327660897,320648776,53599751,320648776,5130,176184042,320648776,557444690,961946328,29050,29044,343983450,33570064,61426,155361283,320648808,663024628,641297520,15027,492105195,320690736,1310491106,1282637064,4657,2485758196,1658562368,2512538487,668774192,4998296683,2327336560,0
7,55310,54802,32498,376326452,3901538,19105,396236603,332815696,70670054,331791904,6737,156167673,331791904,623074330,996399504,27066,27058,296030149,32327200,71383,123930872,332969288,614951292,665938536,19842,540107753,333013832,1278989917,1331921656,5902,3238835503,1594307192,2874095198,1040045392,6112930701,2634352584,0
8,62553,62257,34405,430397853,4383962,19398,424741147,341839568,52813399,341796448,8377,157844363,339554192,635398909,1023190208,25096,25092,307489330,31214240,80084,124712248,340172416,606451970,340801024,24213,663065103,340801200,1394229321,1021774640,7270,3427885092,1765370168,3281578273,1039946096,6709463365,2805316264,0
9,69751,69616,35926,482813214,4828458,19115,458834678,682284040,73787655,341120296,10131,149624546,338741216,682246879,1362145552,23142,23129,273109287,30077176,88819,121570811,339412008,555897054,340103656,29014,845253027,340103832,1522720892,1019619496,8629,4005107990,2174916608,3781190054,1035782096,7786298044,3210698704,0
10,77245,76822,37212,550125453,5261402,18651,545980655,680517216,55034481,337450408,11911,161219077,337450408,762234213,1355418032,21203,21204,286315956,28948824,98015,104699586,338927864,479562949,338927800,34563,922547946,339776712,1506810481,1017632376,9624,4190197844,1959555336,4025996800,1260573744,8216194644,3220129080,0
11,84229,83902,38155,607021595,5669909,17630,650940661,629569768,52835209,313243888,13633,195206574,313277792,898982444,1256091448,19301,19309,255215939,27804120,106313,112301497,314784912,554862358,314827928,39623,1104350310,314785024,1771514165,944397864,10700,4428996966,2318738720,4248842208,1147253056,8677839174,3465991776,0
12,91139,91122,38926,709940631,6061277,16333,661485827,573022464,64632791,286490000,15285,275806690,286490000,1001925308,1146002464,17419,17432,237938908,26744024,115978,106522581,286490032,481090341,286489968,45252,1227609122,286490144,1815222044,859470144,10882,5382016825,2290100512,6876356875,1181191184,12258373700,3471291696,0
13,97813,98033,39429,738127011,6368445,14279,714598869,472028120,51334434,235992568,16814,259295756,235992568,1025229059,944013256,15601,15591,260090465,25668712,123942,111590053,235992600,425753969,235994608,50822,1411432509,236035704,1948776531,708022912,11656,22930256296,2434320328,5021564981,1333018672,27951821277,3767339000,0
14,104136,104653,39890,760505373,6650957,12385,714562577,562564912,43075383,187521632,18133,250171018,375082472,1007808978,1125169016,13846,13778,214750633,24128592,131372,89289369,187560864,403972436,375043288,55917,1478124516,375043392,1971386321,937647544,12196,5369742083,2361093248,5276881334,1387247400,10646623417,3748340648,0
15,110354,111050,40210,801825112,6848853,10498,815258352,612065216,38608607,153006512,19024,210337758,306017112,1064204717,1071088840,12151,12084,231348618,23602360,139150,110898801,153006544,454074428,306052104,61265,1745058393,306013136,2310031622,765071784,11330,5827711451,2598960432,6172950455,1413507704,12000661906,4012468136,0
16,116884,117154,40451,979118530,7017994,9086,879659778,562629104,37538480,140648672,19570,305029884,281338520,1222228142,984616296,10526,10488,203654834,22521864,148334,121443133,140687584,379447053,281297304,67160,1866806335,281297464,2367696521,703282352,9262,6246286914,2577640304,6107224610,1442862448,12353511524,4020502752,0
17,122716,122920,40648,949692530,7146229,7351,993545978,597907784,27632420,119573880,19750,176714273,239147800,1197892671,956629464,8983,8983,181123329,21336624,155786,81738011,119573912,357117487,239147824,72412,1844474213,358759896,2283329711,717481632,8106,6221063162,1409160504,6742558977,211469896,12963622139,1620630400,0
18,128162,128770,40803,1086544881,7247333,5199,1055180491,622466016,22629976,38903840,19443,168990523,194519192,1246800990,855889048,7593,7618,180028109,20169632,162520,85878395,38903872,422197366,194557368,77354,2124103252,311231056,2632179013,544692296,7220,6587004862,2832074312,6906832018,1613474584,13493836880,4445548896,0
19,133154,133623,40918,942532748,7271130,3313,1018925412,616297104,17508534,88078400,18508,219887534,176084832,1256321480,880460336,6322,6357,178949116,19271312,167819,77933394,88042456,353082497,176084800,81388,2081223036,352169920,2512238927,616297176,6661,6554796482,2963030144,7112308843,1694276856,13667105325,4657307000,0
20,138622,138841,40990,1091295393,7322208,1262,1686131275,839903256,12100064,139976120,17240,147057855,279952216,1845289194,1259831592,5063,5109,169425952,18525096,175046,78526282,139976152,400034083,279952200,86588,2195493528,419930608,2674053893,839858960,4871,7154570155,3250103280,7597202857,1757624992,14751773012,5007728272,0
