num,levc,revc,aoc,clt,clm,cdc,ctt,ctm,cdt,cdm,cxc,cxt,cxm,cct,ccm,lelc,relc,slt,slm,sdc,smt,smm,sdt,sdm,sxc,sxt,sxm,sct,scm,exc,ept,epm,ext,exm,ect,ecm,srx
1,28067,27940,59831,236383636,28791426,44225,284595396,392337424,159581056,130815328,528,221260323,130886440,665436775,654039192,545543,545570,6112232935,408202920,45468,3221598170,661631184,12346313857,6728706904,678,578068802,265225560,16145980829,7655563648,567,1923954801,937493208,9757119740,1384387808,11681074541,2321881016,396
2,56100,56331,110537,513176906,15678938,85923,318439842,699873744,169296702,231422896,2062,215093266,231388992,702829810,1162685632,545547,545573,6288921560,539265000,89278,2925933653,699907752,11898635291,6778299352,2287,628428194,461047912,15452997138,7939255016,2193,3055695323,1862059080,10253983274,2127276816,13309678597,3989335896,1423
3,84308,84725,153647,841638442,85936088,125278,438566245,912288848,383035188,304083488,4438,527202304,304117392,1348803737,1520489728,545542,545531,6604601619,539547312,131627,3127135283,604038520,12291811931,6689949240,4755,681071993,608217376,16100019207,7902205136,4754,4910725408,2806339024,11681250941,2357946000,16591976349,5164285024,3070
4,112616,113333,190948,1009485882,114619536,162601,816589836,971387424,307043557,322067920,7593,675285947,315204032,1798919340,1608659376,545521,545520,5881554395,539651896,172658,2790866786,628067984,12647809839,6939291344,7962,922591093,946256072,16361267718,8513615400,8123,6016909898,3297282936,13035281577,2909055584,19052191475,6206338520,5258
5,140928,141547,223560,1253953236,143247162,197885,996235407,1261325184,360470304,305747904,11393,838921924,611428000,2195627635,2178501088,545469,545513,5663854093,539874976,212192,2926916586,619426136,12681720574,6767255232,11830,1090760593,1551178512,16699397753,8937859880,12157,8087032025,3782836448,14653706630,3615684816,22740738655,7398521264,7964
6,169132,169753,252449,1362307605,171906616,231290,841204968,1273466760,386471267,318366632,15876,959039293,614951424,2186715528,2206784816,545521,545519,5438595745,539996808,250357,2947679726,620025952,12785623666,6806546368,16248,1271902406,1547004048,17005205798,8973576368,16873,9653622389,4295277432,15759201643,3913170104,25412824032,8208447536,11044
7,197478,198307,277884,1717577333,200540952,263201,1076419155,1582629808,704877339,316557040,20797,728378464,607653928,2509674958,2506840776,545523,545481,5418800833,540110144,287574,2872461279,609999232,13031992581,7048371328,21092,1485390411,1838763888,17389844271,9497134448,22077,11684714798,4794313840,16677260193,4494802728,28361974991,9289116568,14491
8,226146,226428,300793,1868840247,229092869,293589,1168846805,1867283664,480327888,311253664,26261,1070306816,594294240,2719481509,2772831568,545525,545502,5355729870,540253240,323652,2897912158,595173608,12930935108,6844133384,26437,1495042389,2102925288,17323889655,9542232280,27793,13405665839,5685182552,17743175299,5076351968,31148841138,10761534520,18347
9,254603,254798,321167,2174088397,257600357,322338,1403528634,1840365496,771527038,288901888,32116,914944545,866741712,3090000217,2996009096,545491,545493,5707329882,540370992,358740,2776553441,583805640,12966121717,7052782512,32111,2268060315,2350934008,18010735473,9987522160,33916,15352632321,6218082888,19832184264,5473118816,35184816585,11691201704,22437
10,283016,283159,339452,2464571998,286145589,349513,1536778646,2142610776,584822629,306126368,38213,1068447316,918299552,3190048591,3367036696,545521,545464,5201128368,540444776,392580,2801244149,576216264,12807747168,6962819392,38071,1731911541,2901243512,17340902858,10440279168,40326,17144915099,6779977184,21623468131,5973282072,38768383230,12753259256,26767
