num,levc,revc,aoc,clt,clm,cdc,ctt,ctm,cdt,cdm,cxc,cxt,cxm,cct,ccm,lelc,relc,slt,slm,sdc,smt,smm,sdt,sdm,sxc,sxt,sxm,sct,scm,exc,ept,epm,ext,exm,ect,ecm,srx
1,28211,28688,60305,263408631,26919445,44538,273038127,347640464,175308804,86901048,431,168587483,87079696,616934414,521621208,545531,545551,5896871959,452053712,46131,2950469187,608413040,12670532763,2630651120,674,475443468,273722320,16096445418,3512786480,602,1569378312,798302240,10187984833,1401675264,11757363145,2199977504,382
2,56215,56892,110630,428066331,54535160,86148,469370067,526382680,154415805,173244568,1684,148673712,173278472,772459584,872905720,545488,545514,6213410143,539261784,89854,3215637408,701831168,11901390086,6876159296,2331,577308248,523008400,15694335742,8100998864,2287,3576281019,1602992896,10210220784,1945698312,13786501803,3548691208,1454
3,85098,85157,153784,626933333,85071242,125973,748699025,730433048,224673170,240090088,3631,197457899,240053936,1170830094,1210577072,545486,545487,5941558908,539517288,132594,2974804485,730466848,13141013244,6817522840,4820,786253924,722452192,16902071653,8270441880,4836,6725844890,2552425360,12522944998,2648014952,19248789888,5200440312,3110
4,113282,113425,190998,956069084,113457128,163144,525041607,1191010216,286318142,293049520,6340,433255277,293088480,1244615026,1777148216,545508,545505,5992140946,539762192,173453,2791293171,595524504,12553238129,6848194912,8118,1027416693,892349360,16371947993,8336068776,8245,6296372884,3301904256,12643132649,2927442544,18939505533,6229346800,5318
5,141398,141897,223530,994901868,141685130,198427,743599083,1282025952,346645910,320506480,9770,316599740,311467448,1406844733,1913999880,545536,545495,6138280868,539955280,213097,2903126824,626253136,12484271797,6873431888,11975,1056279381,1249777824,16443678002,8749462848,12329,7363689692,3791131232,14255082803,3597335544,21618772495,7388466776,8033
6,169700,170588,252234,1533068471,169935496,231925,868078426,1582113696,369888617,303659152,13730,379088788,303659152,1617055831,2189432000,545567,545474,5601499925,540113952,251803,2799702854,612773432,12755931692,7046590520,16417,1072413517,1542050072,16628048063,9201414024,17056,17510376090,4309123960,16357245715,3982032368,33867621805,8291156328,11118
7,197934,198944,277731,1462370771,198207322,263639,996817731,1582057104,466288450,302075232,18323,355535483,302080144,1818641664,2186212480,545593,545503,5573083389,540262720,288878,2847899255,611425696,12345316799,7031093424,21361,1232145250,1847888536,16425361304,9490407656,22323,9699249849,4844512424,16331641976,4503438624,26030891825,9347951048,14681
8,226211,227337,300769,1954438989,226504605,293979,1180524966,1874982544,461884980,295736096,23266,679185548,295741680,2321595494,2466460320,545622,545529,6074371423,540338296,324961,2843900615,600712632,12650586223,6907892520,26617,1391453993,2120305464,16885940831,9628910616,27976,11193322957,5434884416,17341564563,4931385176,28534887520,10366269592,18488
9,254455,256103,321125,2191423358,254623176,322717,1377410592,1843569288,497674493,289653792,28808,537618886,289689768,2412703971,2422912848,545616,545473,5605929715,540440608,360336,2921831216,590908120,12913319838,7090562824,32422,1549610918,2386839288,17384761972,10068310232,34177,15076395190,6293270560,18904867451,5577613024,33981262641,11870883584,22662
10,282745,284431,339664,2132716780,282816997,350091,2072305734,2133995432,532005547,285779208,34649,887640596,571526584,3491951877,2991301224,545639,545494,6142468110,540553248,394270,2846159896,578771456,12704992709,7005623080,38471,2172845150,2919118136,17723997755,10503512672,40647,16852126018,6775036320,18713100454,6053519536,35565226472,12828555856,27101
