num,levc,revc,aoc,clt,clm,cdc,ctt,ctm,cdt,cdm,cxc,cxt,cxm,cct,ccm,lelc,relc,slt,slm,sdc,smt,smm,sdt,sdm,sxc,sxt,sxm,sct,scm,exc,ept,epm,ext,exm,ect,ecm,srx
1,28132,28338,73533,246472130,8891928,31145,451453694,373946576,202032553,124636152,1115,257779177,124791928,911265424,623374656,545535,545535,5963630709,414973792,32001,3371579225,623587504,12596815649,619675824,1533,595547102,280021312,16563941976,1523284640,1446,1788542176,577265456,9174812068,1271623944,10963354244,1848889400,961
2,56865,56866,124970,429193284,17462061,57067,528392765,723663496,154304971,180907384,3691,374596593,361848672,1057294329,1266419552,545535,545535,5978992122,540453280,59784,2846831568,547351576,12098041129,6908144016,4656,625457560,363943752,15570330257,7819439344,4688,3194660331,1268514360,10578888231,1625322464,13773548562,2893836824,3485
3,85979,85804,163171,752922554,25851496,78883,616925294,771460432,209731730,189925560,7190,583993067,569675008,1410650091,1531061000,545535,545535,5593343307,541062720,84729,2952344552,587024584,12642570962,6943253144,8990,666448514,389438440,16261364028,7919716168,9059,4971648795,1913707208,11875889090,1913711592,16847537885,3827418800,7274
4,115032,114962,193122,1047629391,33990938,97504,986271901,1092090880,293927048,218452008,11055,585249161,655254384,1865448110,1965797272,545535,545535,5527365134,541558736,107001,2858619652,651412032,12668389711,7021576336,13857,767001122,441695608,16294010485,8114683976,13600,6777197115,2585537976,11578854516,2318935592,18356051631,4904473568,11853
5,144123,144060,216837,1221900901,42062701,113411,1280229430,1165333544,293934880,228410736,15143,765479223,685132728,2339643533,2078877008,545535,545535,5478568127,541944768,127474,2943391584,699240328,12973311542,6992144392,19414,786432731,472275800,16703135857,8163660520,18077,8493076821,3137387464,13013501361,2672463376,21506578182,5809850840,17139
6,173303,173250,236154,1846023613,50004928,126889,1211819867,1233939256,364037484,241358664,19222,1358903097,965340008,2934760448,2440637928,545535,545535,5516540029,542175752,146120,2959663506,740384016,13141426288,6909976688,25293,959659727,501079984,17060749521,8151440688,21961,9899691286,3433647784,14892045448,3049231712,24791736734,6482879496,22813
7,202782,202337,252316,2013943582,57984424,138816,1363986638,1571532768,339775127,255979192,23240,1383294618,1023822472,3087056383,2851334432,545535,545535,5419028203,542421064,163371,2980488440,784890760,13108190288,6860267520,31425,1065275937,523876528,17153954665,8169034808,25017,11419032208,3913509824,15238709593,3385646352,26657741801,7299156176,28732
8,232199,231907,266003,2072793283,65848800,149163,2012851752,1661432768,338013304,276942512,27074,1324134417,1384533920,3674999473,3322909200,545535,545535,5969229479,542639240,179255,2804972564,547980448,12968168326,6889810840,37617,1129885204,551209944,16903026094,7989001232,27137,13621526417,4601698776,17999248570,3825716688,31620774987,8427415464,34782
9,261548,261490,277586,2271253407,73692877,158146,1862367379,1684121728,626753684,280686952,30714,1821735089,1403476928,4310856152,3368285608,545535,545535,5466543504,542809304,193887,3014210588,812867368,13279907415,7114767080,43866,1236640238,544000232,17530758241,8471634680,28169,14637826894,5007107832,18771081140,4064683888,33408908034,9071791720,40864
10,291174,291009,287192,2573260671,81483765,165997,2734963060,1678842104,364891837,279842336,34146,1735516285,1678841704,4835371182,3637526144,545535,545535,5857891831,542946864,207238,2862793550,804399240,13423617499,7026100896,49998,1200462390,808797696,17486873439,8639297832,28478,16829816335,5770893872,18124703898,4434875888,34954520233,10205769760,46877
11,320861,320515,295484,2809829244,89184338,172855,2811709695,1934294776,498457747,276355648,37376,1995527356,1934294536,5305694798,4144944960,545535,545535,5962277074,543110184,219859,2787537220,794398856,13266758980,6975303112,56218,1265028692,799060696,17319324892,8568762664,28669,17016909466,6134146040,20310608144,4866720152,37327517610,11000866192,53003
12,350458,350162,302381,3056841984,96921730,178734,2651193157,1915818104,476056918,273723976,40366,2607447913,1915818048,5734697988,4105360128,545535,545535,5417265063,543178384,231279,2997243324,787170144,13584458275,6914396656,62071,1348523046,792031088,17930224645,8493597888,28561,20251150899,6638611656,20881107509,5268217088,41132258408,11906828744,58772
13,380075,379943,308671,3365750983,104528762,184203,3516184608,2165212368,643476136,270648440,43147,2705226139,2165212024,6864886883,4601072832,545535,545535,5627204226,543278792,242093,2782037425,778875256,13448090888,7105867336,67831,1417329307,796248696,17647457620,8680991288,28527,22255326056,7068871352,23152257185,5516925744,45407583241,12585797096,64443
14,409858,409677,314072,3677788897,112301773,189005,3663596817,2133356600,451894364,252076504,45677,3051349854,2268342720,7166841035,4653775824,545535,545535,5939481530,543343904,251981,2863773128,787052904,13467331660,7133548232,73142,1554576651,812222264,17885681439,8732823400,28481,23945818325,7728858472,23882434773,5973814176,47828253098,13702672648,69729
15,439414,439622,318788,4000355285,120154253,193358,3426893867,2181607504,440896624,272696104,48089,3490933895,2595381816,7358724386,5049685424,545535,545535,5558845402,543328344,261328,2939178128,797073336,13529112024,7032333104,78552,1626181769,809512656,18094471921,8638919096,28479,25635098879,8177669032,25422995419,6314865120,51058094298,14492534152,74963
