num,levc,revc,aoc,clt,clm,cdc,ctt,ctm,cdt,cdm,cxc,cxt,cxm,cct,ccm,lelc,relc,slt,slm,sdc,smt,smm,sdt,sdm,sxc,sxt,sxm,sct,scm,exc,ept,epm,ext,exm,ect,ecm
1,59034,57486,117451,645295158,23575520,92119,445500145,345797688,293070173,115303088,1003,281812979,115304504,1020383297,576405280,1616529,1616482,13355984555,505804920,7788541,7965599308,844671520,19329929173,4183308280,3888818,6.791E+12,4328634392,6.8183E+12,9356614192,1489,3514443702,1248643552,33537515336,2942082192,37051959038,4190725744
2,116391,114845,219401,1294445805,11022352,176670,746678790,729076984,298724906,180147312,3781,370175975,180113424,1415579671,1089337720,1616487,1616524,14691425033,621771288,7784485,7878550854,893825840,18892927184,4101783960,3881977,6.76778E+12,5474057696,6.79455E+12,10469667496,5523,7006444738,2279037792,37948173065,3676120896,44954617803,5955158688
3,174577,172418,308944,1701940398,128481904,255982,813400834,886584856,474899897,172856392,8273,378759919,172856392,1667060650,1232297640,1616560,1616422,12859771844,622348688,7779935,7974711043,869632216,18993025069,4174072576,3874481,6.74352E+12,1235388688,6.77049E+12,6279093480,11935,10397676994,3722333688,39634966734,4436052680,50032643728,8158386368
4,232185,230585,387542,2331727372,173254914,329695,1521726899,1246787736,1152279172,338777776,14361,760820386,169405488,3434826457,1754971000,1616637,1616367,13219272476,622962552,7775372,8401980068,855779336,21024109450,4107594816,3866938,6.85572E+12,1584205392,6.88515E+12,6547579544,20405,13650680732,4494172304,45438602332,5264150328,59089283064,9758322632
5,289625,287683,456844,2913120589,216537205,398527,1949660834,1399866720,826415340,350006928,21738,522788928,329078376,3298865102,2078952024,1616551,1616404,13004066848,623514112,7771182,7654354858,825863792,19745522852,4170637040,3859773,6.68435E+12,2251335432,6.71175E+12,7247836264,30418,17861250363,5745334640,48601075424,6030704168,66462325787,11776038808
6,347090,345809,518498,3269697775,259769306,463288,2177230315,1640709240,987213397,328168544,30403,835351877,305246296,3999795589,2274124080,1616496,1616368,13897773882,623953288,7766625,7971909192,808292576,18927295451,4235259624,3852280,6.30608E+12,4576986400,6.33297E+12,9620538600,41884,20817101365,466856512,54886647503,985656032,75703748868,1452512544
7,404611,404067,574026,4341250685,303070765,524436,2282885544,1820850352,755591497,298716344,40053,938866202,298716376,3977343243,2418283072,1616436,1616415,13580318380,624439184,7762228,7691977026,808835320,17725202043,4186307744,3844718,6.29872E+12,7720367928,6.32413E+12,12715510992,54485,23755252412,1161346624,58296228579,1367969424,82051480991,2529316048
8,462408,464276,624150,4844932916,346377944,582546,2871226511,2078775272,917892827,284541760,51050,978821573,284539688,4767940911,2647856720,1616412,1616443,13624788214,624853536,7756395,7773644320,898658496,17265948245,4193571832,3835747,6.23107E+12,6594542272,6.25611E+12,11686772600,68495,27764298154,8931436888,61307304410,8504049360,89071602564,17435486248
9,519633,521663,668687,5304337693,389653128,636189,3759071653,2197603456,1329438399,313937864,62464,1001808582,419612416,6090318634,2931153736,1616422,1616353,13366756722,625154184,7752399,7222484636,865962672,17388960608,4126498480,3828715,6.29344E+12,2370149008,6.31806E+12,7362610160,82931,30497245283,2927982704,67077035379,2111751328,97574280662,5039734032
10,577141,579883,709295,5388622238,432842050,687589,3849389846,2474534600,1051751792,464000360,74988,1018019406,407362808,5919161044,3345897768,1616423,1616330,12725843461,625534824,7748012,7212794133,844316024,18130310822,4180816872,3821149,6.21287E+12,8935979560,6.23822E+12,13961112456,98253,42284168944,7537052248,73577279382,2311248552,1.15861E+11,9848300800
